epoch_number,discriminator_loss,generator_loss
1,1.036,28.368
2,0.759,25.257
3,0.664,24.388
4,0.593,24.052
5,0.535,23.742
6,0.510,23.355
7,0.495,23.042
8,0.494,22.705
9,0.490,22.185
10,0.484,21.700
11,0.497,21.086
12,0.479,20.566
13,0.474,20.126
14,0.504,19.648
15,0.490,19.239
16,0.489,18.945
17,0.474,18.760
18,0.474,18.293
19,0.479,18.002
20,0.485,17.649
21,0.498,17.249
22,0.491,16.772
23,0.495,16.494
24,0.498,16.237
25,0.509,15.872
26,0.499,15.600
27,0.524,15.286
28,0.504,14.999
29,0.504,14.785
30,0.512,14.590
31,0.519,14.363
32,0.530,14.058
33,0.501,14.067
34,0.500,13.812
35,0.510,13.645
36,0.553,13.346
37,0.505,13.308
38,0.510,13.140
39,0.522,12.884
40,0.565,12.619
41,0.539,12.485
42,0.535,12.378
43,0.528,12.286
44,0.527,12.157
45,0.536,11.989
46,0.527,11.926
47,0.560,11.729
48,0.543,11.584
49,0.528,11.538
50,0.532,11.478
